                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.64022,                 0.9454,                0.35985,                0.90937,                0.97147,                0.97702,                0.98352,                0.84973,                0.97514,                0.98018,                0.98664,                0.79448,                0.84879,                  1.386,                0.38711,                 1.0134,              0.0011059,              0.0011059,              0.0011059
                     70,                0.61465,                0.92083,                0.34982,                0.89879,                0.97592,                0.97947,                0.98524,                0.84808,                0.97858,                0.98223,                0.98741,                 0.7856,                0.82969,                 1.4422,                0.36598,                 1.0049,              0.0010976,              0.0010976,              0.0010976
                     71,                0.61239,                0.90228,                0.34709,                0.89482,                0.97231,                0.98241,                0.98575,                0.85391,                0.97015,                0.98517,                0.98917,                0.79713,                0.82481,                 1.3742,                 0.3666,                 0.9962,              0.0010894,              0.0010894,              0.0010894
                     72,                0.60313,                0.90546,                0.34579,                0.89097,                0.96599,                0.97831,                0.98246,                0.85144,                0.96742,                0.97973,                0.98673,                0.79401,                0.81795,                 1.3421,                0.36851,                0.99619,              0.0010811,              0.0010811,              0.0010811
                     73,                0.62039,                0.91641,                0.34816,                0.89137,                0.96519,                0.97947,                0.98126,                0.85101,                0.97178,                 0.9777,                0.98705,                0.78943,                 0.8356,                 1.4814,                0.36971,                 1.0017,              0.0010729,              0.0010729,              0.0010729
                     74,                 0.6099,                0.92269,                0.34422,                 0.8933,                 0.9606,                0.97936,                0.98268,                0.86003,                0.96078,                 0.9792,                0.98425,                0.79696,                0.81044,                 1.4208,                0.37018,                0.99682,              0.0010646,              0.0010646,              0.0010646
                     75,                0.61583,                0.92441,                0.34235,                0.89928,                0.96303,                0.97533,                0.98448,                0.85865,                0.96453,                0.97672,                0.98749,                 0.8004,                0.80461,                  1.432,                0.35639,                0.99281,              0.0010564,              0.0010564,              0.0010564
                     76,                0.61454,                0.90813,                0.33863,                0.89036,                 0.9697,                0.97806,                0.98936,                0.85893,                0.97113,                0.97932,                 0.9894,                0.81068,                0.85734,                 1.4248,                0.37234,                 1.0005,              0.0010481,              0.0010481,              0.0010481
                     77,                 0.5976,                 0.9036,                0.33993,                0.89552,                0.95986,                0.97693,                0.98231,                0.85393,                0.96252,                0.97853,                0.98768,                0.78938,                0.82313,                 1.5575,                 0.3683,                 1.0113,              0.0010399,              0.0010399,              0.0010399
                     78,                0.59297,                0.90446,                0.33526,                0.89025,                0.97883,                0.97718,                  0.988,                0.86407,                0.97955,                0.97788,                0.98946,                0.80695,                0.81694,                 1.4223,                0.36121,                0.99176,              0.0010316,              0.0010316,              0.0010316
                     79,                0.61832,                0.91749,                0.34182,                0.89515,                0.96064,                0.97364,                0.98552,                0.86247,                0.95823,                0.97746,                 0.9862,                0.79983,                0.79854,                 1.4203,                0.36625,                0.99822,              0.0010234,              0.0010234,              0.0010234
                     80,                0.60874,                0.91156,                0.34134,                0.89489,                0.94199,                0.97735,                0.98461,                 0.8578,                0.94226,                0.97841,                0.98662,                0.79382,                0.82891,                 1.4695,                0.37538,                 1.0066,              0.0010151,              0.0010151,              0.0010151
                     81,                0.60213,                0.90968,                0.34217,                0.89499,                0.97261,                0.97631,                 0.9835,                0.86119,                0.97485,                0.97821,                0.98752,                0.80111,                0.80091,                  1.448,                0.35653,                0.99669,              0.0010069,              0.0010069,              0.0010069
                     82,                0.60382,                0.90842,                0.34071,                0.89298,                0.97477,                0.98018,                0.98603,                0.86309,                 0.9775,                0.98034,                0.98777,                0.80678,                0.80858,                 1.4368,                 0.3583,                0.99333,             0.00099862,             0.00099862,             0.00099862
                     83,                0.59503,                0.88289,                0.33511,                0.89215,                0.97259,                0.97704,                0.98484,                0.85198,                0.97329,                0.97775,                 0.9867,                0.79528,                0.84209,                 1.4468,                0.36656,                 1.0097,             0.00099036,             0.00099036,             0.00099036
                     84,                0.59808,                0.88644,                0.33723,                0.89106,                0.97511,                0.98174,                0.98434,                0.85249,                 0.9744,                0.98103,                0.98614,                0.79301,                0.81329,                 1.4573,                0.37827,                0.99175,             0.00098211,             0.00098211,             0.00098211
                     85,                0.59599,                0.89859,                 0.3343,                0.88958,                0.96652,                0.97986,                0.98462,                0.86124,                0.96912,                0.98018,                0.98734,                0.79967,                0.79191,                 1.4421,                0.36214,                0.98266,             0.00097386,             0.00097386,             0.00097386
                     86,                0.60891,                0.93329,                0.34537,                0.89474,                0.96978,                0.98089,                0.98244,                0.85379,                 0.9698,                0.98191,                0.98672,                0.79672,                0.82415,                 1.4517,                0.36829,                0.99204,             0.00096561,             0.00096561,             0.00096561
                     87,                0.61087,                0.90725,                0.34232,                0.89419,                0.97077,                0.98005,                0.98281,                0.85095,                0.97609,                0.97923,                0.98641,                0.79285,                0.83452,                 1.3995,                0.37073,                0.99995,             0.00095736,             0.00095736,             0.00095736
                     88,                0.59715,                0.87701,                0.32764,                0.88626,                0.97156,                0.97487,                0.98352,                0.85454,                0.97289,                0.97636,                0.98609,                0.79128,                0.81958,                  1.457,                 0.3558,                 1.0049,             0.00094911,             0.00094911,             0.00094911
                     89,                0.59597,                 0.8845,                0.33073,                0.88175,                0.97209,                0.98443,                0.98716,                0.84788,                0.97447,                0.98372,                 0.9882,                0.79899,                0.85032,                 1.4403,                0.35948,                 1.0034,             0.00094085,             0.00094085,             0.00094085
                     90,                0.59548,                0.87525,                0.33028,                0.88735,                0.96853,                0.98089,                0.98383,                 0.8476,                0.97156,                0.98372,                0.98642,                0.79019,                0.82284,                 1.4854,                0.36268,                0.99896,              0.0009326,              0.0009326,              0.0009326
                     91,                0.59001,                0.87754,                0.32917,                0.88472,                0.96501,                0.97877,                0.97968,                0.84302,                0.96745,                 0.9816,                0.98499,                 0.7802,                0.81239,                  1.498,                0.36283,                 1.0073,             0.00092435,             0.00092435,             0.00092435
                     92,                0.60748,                0.87898,                0.33301,                0.89254,                0.97114,                0.98248,                0.98404,                0.84587,                0.97255,                 0.9839,                0.98681,                0.78758,                0.82357,                 1.5079,                0.36005,                 1.0051,              0.0009161,              0.0009161,              0.0009161
                     93,                0.56612,                0.85055,                0.31724,                0.88519,                0.97483,                0.98514,                0.98465,                0.85089,                0.97764,                0.98797,                0.98889,                0.79808,                 0.8257,                 1.4862,                 0.3519,                 1.0014,             0.00090785,             0.00090785,             0.00090785
                     94,                0.57981,                0.86979,                0.32323,                0.88547,                0.97377,                 0.9848,                0.98735,                0.86291,                 0.9743,                0.98598,                0.98856,                0.81301,                0.83308,                 1.4679,                0.35344,                0.99709,              0.0008996,              0.0008996,              0.0008996
                     95,                0.57606,                0.85311,                 0.3229,                0.88339,                0.96391,                0.98321,                0.98289,                0.85294,                0.96671,                0.98604,                0.98743,                 0.7887,                0.82099,                  1.571,                0.35378,                 1.0084,             0.00089134,             0.00089134,             0.00089134
                     96,                0.58452,                0.88231,                0.32892,                0.88364,                0.97209,                0.98172,                0.98402,                0.85853,                0.97472,                 0.9848,                0.98788,                0.79856,                0.80448,                  1.534,                0.35556,                 1.0132,             0.00088309,             0.00088309,             0.00088309
                     97,                0.58453,                0.86722,                0.31853,                0.88764,                 0.9687,                0.98514,                0.98212,                0.84786,                 0.9694,                0.98585,                0.98457,                0.78573,                0.83966,                 1.5522,                0.36187,                 1.0055,             0.00087484,             0.00087484,             0.00087484
                     98,                0.58513,                0.89275,                0.32862,                0.89188,                0.97022,                0.98299,                0.98326,                0.86164,                 0.9737,                0.98653,                0.98858,                0.80165,                0.79996,                 1.4954,                0.35025,                0.99968,             0.00086659,             0.00086659,             0.00086659
                     99,                 0.5872,                0.87804,                0.32307,                0.88631,                0.97339,                0.97806,                0.98256,                0.85409,                0.97645,                0.98089,                0.98728,                0.79101,                0.81806,                 1.6039,                0.35175,                 1.0096,             0.00085834,             0.00085834,             0.00085834
                    100,                0.56511,                0.85475,                 0.3209,                 0.8843,                0.97464,                0.98514,                0.98556,                0.85977,                0.97588,                0.98514,                0.98711,                0.79971,                0.79407,                 1.4543,                 0.3456,                0.99593,             0.00085009,             0.00085009,             0.00085009
                    101,                0.55903,                0.83719,                0.31245,                0.88187,                0.97326,                0.98376,                0.98596,                0.86083,                0.97471,                0.98443,                0.98698,                0.80436,                 0.8189,                 1.5371,                0.34951,                 1.0031,             0.00084184,             0.00084184,             0.00084184
                    102,                0.57431,                0.83687,                0.31807,                0.88032,                0.97252,                0.98248,                0.98431,                0.85353,                0.97675,                0.98673,                0.98805,                0.79807,                 0.8325,                 1.5543,                0.36159,                 1.0035,             0.00083358,             0.00083358,             0.00083358
                    103,                 0.5686,                0.85773,                0.31993,                0.87718,                0.97442,                0.98279,                  0.982,                0.85147,                0.97939,                0.98773,                0.99134,                0.79681,                0.83029,                  1.511,                0.36283,                 1.0031,             0.00082533,             0.00082533,             0.00082533
                    104,                0.55409,                0.82569,                0.31582,                0.87524,                0.97332,                0.98537,                0.98678,                0.85897,                0.97405,                0.98585,                0.98775,                0.79929,                 0.8242,                 1.4494,                0.35746,                 1.0079,             0.00081708,             0.00081708,             0.00081708
                    105,                0.57255,                0.86665,                0.31801,                  0.878,                0.97848,                0.98301,                0.98674,                0.85589,                0.97706,                0.98372,                0.98756,                0.79791,                0.85205,                 1.5325,                0.34872,                 1.0198,             0.00080883,             0.00080883,             0.00080883
